,Usage,Idiom,SenenceNo,Location,Sentence,SentenceBefore,SentenceAfter
0,L,blow_smoke,280,A/A6/A6E,"[('Anyway', 'ADV'), (',', 'PUN'), ('Jack', 'SUBST'), ('The', 'ART'), ('Lad', 'SUBST'), ('said', 'VERB'), (',', 'PUN'), ('rehearsing', 'VERB'), (',', 'PUN'), ('and', 'CONJ'), ('blew', 'VERB'), ('smoke', 'SUBST'), ('in', 'PREP'), ('his', 'PRON'), ('face', 'SUBST'), ('.', 'PUN')]","[('He', 'PRON'), ('was', 'VERB'), ('obviously', 'ADV'), ('peeved', 'ADJ'), ('that', 'CONJ'), ('we', 'PRON'), (""'d"", 'VERB'), ('squared', 'VERB'), ('it', 'PRON'), ('with', 'PREP'), ('the', 'ART'), ('music', 'SUBST'), ('teacher', 'SUBST'), ('while', 'CONJ'), ('he', 'PRON'), ('did', 'VERB'), (""n't"", 'ADV'), ('know', 'VERB'), ('anything', 'PRON'), ('about', 'PREP'), ('it', 'PRON'), ('.', 'PUN')]","[('The', 'ART'), ('next', 'ADJ'), ('day', 'SUBST'), ('we', 'PRON'), ('were', 'VERB'), ('informed', 'VERB'), ('that', 'CONJ'), ('we', 'PRON'), ('were', 'VERB'), (""n't"", 'ADV'), ('allowed', 'VERB'), ('to', 'PREP'), ('use', 'VERB'), ('the', 'ART'), ('huts', 'SUBST'), ('again', 'ADV'), ('.', 'PUN')]"
1,L,blow_smoke,503,A/A7/A74,"[('She', 'PRON'), (""'s"", 'VERB'), ('lying', 'VERB'), ('on', 'PREP'), ('the', 'ART'), ('bed', 'SUBST'), (',', 'PUN'), ('blowing', 'VERB'), ('smoke', 'SUBST'), ('at', 'PREP'), ('the', 'ART'), ('ceiling', 'SUBST'), ('.', 'PUN')]","[('I', 'PRON'), ('really', 'ADV'), ('liked', 'VERB'), ('it', 'PRON'), (',', 'PUN'), ('the', 'ART'), ('way', 'SUBST'), ('she', 'PRON'), ('moved', 'VERB'), ('my', 'PRON'), ('head', 'SUBST'), ('and', 'CONJ'), ('brushed', 'VERB'), ('her', 'PRON'), ('fingers', 'SUBST'), ('through', 'PREP'), ('my', 'PRON'), ('hair', 'SUBST'), ('.', 'PUN')]","[('The', 'ART'), ('smoke', 'SUBST'), ('sort', 'SUBST'), ('of', 'PREP'), ('hangs', 'VERB'), ('in', 'PREP'), ('blue', 'ADJ'), ('layers', 'SUBST'), ('above', 'PREP'), ('the', 'ART'), ('bed', 'SUBST'), ('and', 'CONJ'), ('I', 'PRON'), ('watch', 'VERB'), ('it', 'PRON'), ('for', 'PREP'), ('a', 'ART'), ('bit', 'SUBST'), ('.', 'PUN')]"
2,L,blow_smoke,1541,A/A7/A7J,"[('His', 'PRON'), ('father', 'SUBST'), ('leaned', 'VERB'), ('back', 'ADV'), ('and', 'CONJ'), ('blew', 'VERB'), ('smoke', 'SUBST'), ('towards', 'PREP'), ('the', 'ART'), ('ceiling', 'SUBST'), ('.', 'PUN')]","[('‘', 'PUQ'), ('Why', 'ADV'), ('did', 'VERB'), ('they', 'PRON'), ('shift', 'VERB'), ('you', 'PRON'), ('down', 'ADV'), ('here', 'ADV'), ('?', 'PUN'), ('’', 'PUQ')]","[('Arty', 'ADJ'), ('looked', 'VERB'), ('round', 'ADV'), ('at', 'PREP'), ('Jack', 'SUBST'), ('Carbery', 'SUBST'), ('and', 'CONJ'), ('the', 'ART'), ('five', 'ADJ'), ('others', 'SUBST'), ('who', 'PRON'), ('had', 'VERB'), ('been', 'VERB'), ('moved', 'VERB'), ('to', 'PREP'), ('the', 'ART'), ('ground', 'SUBST'), ('floor', 'SUBST'), ('with', 'PREP'), ('him', 'PRON'), ('.', 'PUN')]"
3,L,blow_smoke,693,A/AD/ADA,"[('Let', 'VERB'), ('us', 'PRON'), ('blow', 'VERB'), ('smoke', 'SUBST'), ('at', 'PREP'), ('each', 'ADJ'), ('other', 'SUBST'), (',', 'PUN'), ('you', 'PRON'), ('and', 'CONJ'), ('I.', 'SUBST')]","[('Let', 'VERB'), ('us', 'PRON'), ('relax', 'VERB'), (',', 'PUN'), ('then', 'ADV'), ('.', 'PUN')]","[('A', 'ART'), ('long', 'ADJ'), ('way', 'SUBST'), ('from', 'PREP'), ('here', 'ADV'), ('the', 'ART'), ('amiable', 'ADJ'), ('and', 'CONJ'), ('taggled', 'VERB'), ('sheep', 'SUBST'), ('are', 'VERB'), ('still', 'ADV'), ('curling', 'VERB'), ('together', 'ADV'), ('in', 'PREP'), ('the', 'ART'), ('roadside', 'SUBST'), ('bus', 'SUBST'), ('shelter', 'SUBST'), ('and', 'CONJ'), ('the', 'ART'), ('wind', 'SUBST'), ('still', 'ADV'), ('moves', 'VERB'), ('through', 'PREP'), ('the', 'ART'), ('unclad', 'SUBST'), ('trees', 'SUBST'), ('.', 'PUN')]"
4,L,blow_smoke,709,A/AD/ADA,"[('Let', 'VERB'), ('us', 'PRON'), ('blow', 'VERB'), ('smoke', 'SUBST'), ('at', 'PREP'), ('each', 'ADJ'), ('other', 'SUBST'), (',', 'PUN'), ('you', 'PRON'), ('and', 'CONJ'), ('I.', 'SUBST'), ('Smoke', 'SUBST'), ('gets', 'VERB'), ('in', 'PREP'), ('your', 'PRON'), ('eyes', 'SUBST'), (',', 'PUN'), ('your', 'PRON'), ('green', 'ADJ'), ('eyes', 'SUBST'), (',', 'PUN'), ('my', 'PRON'), ('icy', 'ADJ'), ('love', 'SUBST'), ('.', 'PUN')]","[('Let', 'VERB'), ('us', 'PRON'), ('relax', 'VERB'), (',', 'PUN'), ('please', 'ADV'), ('.', 'PUN')]","[('I', 'PRON'), ('hope', 'VERB'), ('I', 'PRON'), ('do', 'VERB'), ('not', 'ADV'), ('fall', 'VERB'), ('asleep', 'ADJ'), ('.', 'PUN')]"
5,L,blow_smoke,1726,A/AL/ALL,"[('He', 'PRON'), ('took', 'VERB'), ('a', 'ART'), ('fresh', 'ADJ'), ('cigarette', 'SUBST'), ('offered', 'VERB'), ('by', 'PREP'), ('somebody', 'PRON'), ('else', 'ADV'), (',', 'PUN'), ('lit', 'VERB'), ('it', 'PRON'), ('and', 'CONJ'), ('then', 'ADV'), ('blew', 'VERB'), ('the', 'ART'), ('smoke', 'SUBST'), ('in', 'PREP'), ('Harry', 'SUBST'), (""'s"", 'UNC'), ('face', 'SUBST'), ('.', 'PUN')]","[('Harry', 'SUBST'), ('had', 'VERB'), ('tensed', 'VERB'), ('at', 'PREP'), ('the', 'ART'), ('criticism', 'SUBST'), (',', 'PUN'), ('but', 'CONJ'), ('Scarface', 'SUBST'), ('laughed', 'VERB'), ('and', 'CONJ'), ('the', 'ART'), ('whole', 'ADJ'), ('bar', 'SUBST'), ('started', 'VERB'), ('roaring', 'VERB'), ('at', 'PREP'), ('Bull', 'SUBST'), (""'s"", 'UNC'), ('subtlety', 'SUBST'), ('and', 'CONJ'), ('wit', 'SUBST'), ('.', 'PUN')]","[('Nothing', 'PRON'), ('was', 'VERB'), ('said', 'VERB'), (',', 'PUN'), ('but', 'CONJ'), ('his', 'PRON'), ('Lieutenant', 'SUBST'), ('knew', 'VERB'), ('he', 'PRON'), ('had', 'VERB'), ('been', 'VERB'), ('reprieved', 'VERB'), ('at', 'PREP'), ('the', 'ART'), ('last', 'ADJ'), ('minute', 'SUBST'), ('.', 'PUN')]"
6,L,blow_smoke,1792,A/AR/ARK,"[('He', 'PRON'), ('blew', 'VERB'), ('smoke', 'SUBST'), ('into', 'PREP'), ('the', 'ART'), ('air', 'SUBST'), ('.', 'PUN')]","[('Feed', 'VERB'), ('it', 'PRON'), ('into', 'PREP'), ('the', 'ART'), ('grapevine', 'SUBST'), (',', 'PUN'), ('use', 'VERB'), ('your', 'PRON'), ('press', 'SUBST'), ('contacts', 'SUBST'), ('.', 'PUN'), ('’', 'PUQ')]","[('‘', 'PUQ'), ('But', 'CONJ'), ('on', 'PREP'), ('no', 'ART'), ('account', 'SUBST'), ('let', 'VERB'), ('anyone', 'PRON'), ('know', 'VERB'), ('we', 'PRON'), (""'re"", 'VERB'), ('interested', 'ADJ'), ('.', 'PUN'), ('’', 'PUQ')]"
7,L,blow_smoke,302,C/CA/CAY,"[('This', 'ADJ'), ('effect', 'SUBST'), ('is', 'VERB'), ('best', 'ADV'), ('corrected', 'VERB'), ('by', 'PREP'), ('observing', 'VERB'), ('the', 'ART'), ('exhaust', 'SUBST'), ('smoke', 'SUBST'), ('and', 'CONJ'), ('trimming', 'VERB'), ('the', 'ART'), ('model', 'SUBST'), ('so', 'ADV'), ('that', 'CONJ'), ('the', 'ART'), ('tail', 'SUBST'), ('boom', 'SUBST'), ('is', 'VERB'), ('pointing', 'VERB'), ('in', 'PREP'), ('the', 'ART'), ('same', 'ADJ'), ('direction', 'SUBST'), ('that', 'CONJ'), ('the', 'ART'), ('smoke', 'SUBST'), ('is', 'VERB'), ('being', 'VERB'), ('blown', 'VERB'), ('.', 'PUN')]","[('It', 'PRON'), ('will', 'VERB'), ('then', 'ADV'), ('maintain', 'VERB'), ('a', 'ART'), ('constant', 'ADJ'), ('heading', 'SUBST'), ('at', 'PREP'), ('an', 'ART'), ('angle', 'SUBST'), ('to', 'PREP'), ('the', 'ART'), ('wind', 'SUBST'), ('.', 'PUN')]","[('If', 'CONJ'), ('a', 'ART'), ('gyro', 'SUBST'), ('is', 'VERB'), ('fitted', 'VERB'), (',', 'PUN'), ('this', 'ADJ'), ('can', 'VERB'), ('tend', 'VERB'), ('to', 'PREP'), ('hide', 'VERB'), ('the', 'ART'), ('effect', 'SUBST'), ('of', 'PREP'), ('the', 'ART'), ('trim', 'ADJ'), ('offset', 'SUBST'), ('and', 'CONJ'), ('can', 'VERB'), (',', 'PUN'), ('in', 'PREP'), ('gusty', 'ADJ'), ('conditions', 'SUBST'), (',', 'PUN'), ('cause', 'VERB'), ('the', 'ART'), ('tail', 'SUBST'), ('to', 'PREP'), ('oscillate', 'VERB'), ('and', 'CONJ'), ('lead', 'VERB'), ('to', 'PREP'), ('the', 'ART'), ('mistaken', 'ADJ'), ('conclusion', 'SUBST'), ('that', 'CONJ'), ('the', 'ART'), ('gyro', 'SUBST'), ('is', 'VERB'), ('too', 'ADV'), ('sensitive', 'ADJ'), ('.', 'PUN')]"
8,L,blow_smoke,1320,C/CC/CCW,"[('The', 'ART'), ('Ulsterman', 'SUBST'), ('blew', 'VERB'), ('smoke', 'SUBST'), ('towards', 'PREP'), ('her', 'PRON'), ('.', 'PUN')]","[('A', 'ART'), ('small', 'ADJ'), ('battery-powered', 'ADJ'), ('fan', 'SUBST'), ('whirled', 'VERB'), ('the', 'ART'), ('smoke', 'SUBST'), ('away', 'ADV'), ('and', 'CONJ'), ('generally', 'ADV'), ('tried', 'VERB'), ('to', 'PREP'), ('stir', 'VERB'), ('up', 'ADV'), ('the', 'ART'), ('humid', 'ADJ'), ('air', 'SUBST'), ('which', 'PRON'), ('played', 'VERB'), ('such', 'ADJ'), ('havoc', 'SUBST'), ('with', 'PREP'), ('Ellen', 'SUBST'), (""'s"", 'UNC'), ('precious', 'ADJ'), ('books', 'SUBST'), ('in', 'PREP'), ('their', 'PRON'), ('orange-crate', 'ADJ'), ('shelves', 'SUBST'), ('.', 'PUN')]","[('‘', 'PUQ'), ('Breakspear', 'SUBST'), ('wo', 'VERB'), (""n't"", 'ADV'), ('do', 'VERB'), ('the', 'ART'), ('senator', 'SUBST'), (""'s"", 'UNC'), ('cruise', 'SUBST'), (',', 'PUN'), ('’', 'PUQ'), ('he', 'PRON'), ('said', 'VERB'), (',', 'PUN'), ('‘', 'PUQ'), ('so', 'CONJ'), ('you', 'PRON'), (""'ll"", 'VERB'), ('lose', 'VERB'), ('that', 'ADJ'), ('money', 'SUBST'), (',', 'PUN'), ('but', 'CONJ'), ('if', 'CONJ'), ('you', 'PRON'), ('work', 'VERB'), ('one', 'ADJ'), ('night', 'SUBST'), ('a', 'ART'), ('week', 'SUBST'), ('for', 'PREP'), ('me', 'PRON'), ('then', 'ADV'), ('you', 'PRON'), (""'ll"", 'VERB'), ('earn', 'VERB'), ('just', 'ADV'), ('as', 'ADV'), ('much', 'ADJ'), ('anyway', 'ADV'), ('.', 'PUN')]"
9,L,blow_smoke,1350,C/CC/CCW,"[('He', 'PRON'), ('blew', 'VERB'), ('cigarette', 'SUBST'), ('smoke', 'SUBST'), ('to', 'PREP'), ('sting', 'VERB'), ('my', 'PRON'), ('eyes', 'SUBST'), ('.', 'PUN')]","[('He', 'PRON'), ('came', 'VERB'), ('and', 'CONJ'), ('stood', 'VERB'), ('very', 'ADV'), ('close', 'ADJ'), ('to', 'PREP'), ('me', 'PRON'), (',', 'PUN'), ('trying', 'VERB'), ('to', 'PREP'), ('intimidate', 'VERB'), ('me', 'PRON'), ('as', 'CONJ'), ('Billingsley', 'SUBST'), ('had', 'VERB'), ('done', 'VERB'), ('.', 'PUN')]","[('‘', 'PUQ'), ('Just', 'ADV'), ('because', 'CONJ'), ('you', 'PRON'), ('were', 'VERB'), ('a', 'ART'), ('poxy', 'ADJ'), ('marine', 'SUBST'), (',', 'PUN'), ('your', 'PRON'), ('Holiness', 'SUBST'), (',', 'PUN'), ('does', 'VERB'), (""n't"", 'ADV'), ('make', 'VERB'), ('you', 'PRON'), ('tough', 'ADJ'), ('.', 'PUN'), ('’', 'PUQ')]"
