,Sentence,Usage,Idiom,BetweenPOS,NumOfWordsBetween,PrePOS,prePOS2,postPOS,postPOS2,CountOfSameNounInContext,SentenceLength,SentimentsAVG
0,anyway jack the lad say rehearse and blow smoke in he face,L,blow_smoke,[],0,CJC,VVG,PRP,DPS,1,12,0.08233333333333334
1,she be lie on the bed blow smoke at the ceiling,L,blow_smoke,[],0,NN1,AT0,PRP,AT0,2,11,0.040714285714285724
2,he father lean back and blow smoke towards the ceiling,L,blow_smoke,[],0,CJC,AVP,PRP,AT0,1,10,0.23828571428571427
3,let we blow smoke at each other you and i.,L,blow_smoke,[],0,PNP,VVB,PRP,DT0,1,10,-0.40049999999999997
4,let we blow smoke at each other you and i. smoke get in you eye you green eye i icy love,L,blow_smoke,[],0,PNP,VVB,PRP,DT0,2,21,0.06441666666666666
5,he take a fresh cigarette offer by somebody else light it and then blow the smoke in harry 's face,L,blow_smoke,['AT0'],1,AV0,CJC,PRP,NP0,1,20,0.18054545454545454
6,he blow smoke into the air,L,blow_smoke,[],0,PNP,,PRP,AT0,1,6,0.23275
7,this effect be best correct by observe the exhaust smoke and trim the model so that the tail boom be point in the same direction that the smoke be be blow,L,blow_smoke,[],0,VBG,VBZ,,,2,31,0.1388095238095238
8,the ulsterman blow smoke towards she,L,blow_smoke,[],0,NP0-NN1,AT0,PRP,PNP,2,6,-0.004999999999999967
9,he blow cigarette smoke to sting i eye,L,blow_smoke,['NN1'],1,PNP,,TO0,VVI,1,8,0.06516666666666668
10,as pungent smoke be blow into she face diana 's eye go red and watery,L,blow_smoke,"['PRP', 'DPS', 'NN1', 'NP0', 'POS', 'NN2', 'VVD', 'AJ0-NN1', 'CJC']",9,VBD,NN1,,,1,15,0.135
11,no draught cowl prevent downdraught from blow smoke back into the room with the new eurocowl,L,blow_smoke,[],0,PRP,NN1-VVB,AVP,PRP,1,16,0.25625000000000003
12,this one be blow smoke,Q,blow_smoke,[],0,VBZ,PNI,,,2,5,-0.57
13,why do he blow out all that smoke,Q,blow_smoke,"['AVP', 'DT0', 'DT0']",3,PNP,VDZ,,,1,8,-0.3128
14,if you be behind he you can sometimes catch a glimpse of little bit of he because all the smoke be be blow out in the front,L,blow_smoke,"['AVP', 'PRP', 'AT0']",3,VBG,VBZ,,,2,27,0.009666666666666676
15,mind you he must have gigantic nose-hole to be able to blow out all that smoke,Q,blow_smoke,"['AVP', 'DT0', 'DT0']",3,TO0,AJ0,,,1,16,0.1528
16,dodger sigh and blow smoke all over we,L,blow_smoke,[],0,CJC,VVD,AV0,PRP,2,8,-0.4286666666666667
17,he blow the smoke to the ceiling,L,blow_smoke,['AT0'],1,PNP,,PRP,AT0,1,7,0.29533333333333334
18,test the alarm regularly by press the test button or blow smoke into it from a cigarette or candle,L,blow_smoke,[],0,CJC,NN1,PRP,PNP,1,19,0.30091666666666667
19,he pull deeply on the cigarette and blow the smoke into tommy 's face,L,blow_smoke,['AT0'],1,CJC,NN1,PRP,NP0,1,14,0.4025000000000001
20,philpott exhale blow the smoke upwards,L,blow_smoke,['AT0'],1,VVD,NP0,AV0,,1,6,0.1542
21,yes indeed madame sigh light a fresh cigarette and blow the smoke out of the side of she mouth yes you do very well indeed,L,blow_smoke,['AT0'],1,CJC,NN1,AVP,PRF,1,25,0.34565
22,she come whistle out of the dark when folk be in they bed and the most they will see of she be she green eye and the red fire blow up she smoke,L,blow_smoke,"['AVP', 'DPS']",2,NN2,AJ0,,,1,33,0.24505000000000005
23,and with petulant little movement of she lip and eye she challenge they then reach for a cigarette and light it and blow out thick smoke in irritation,L,blow_smoke,"['AVP', 'AJ0-AV0']",2,CJC,PNP,PRP,NN1,1,28,-0.11864705882352941
24,kenneth caitlin light himself a cigar blow the smoke out in huge puff that swirl around he bald head,L,blow_smoke,['AT0'],1,NN1,AT0,AVP,PRP,1,19,-0.06653846153846153
25,he blow cigar smoke in she face,L,blow_smoke,['NN1'],1,PNP,,PRP,DPS,1,7,-0.1568
26,she inhale deeply and throw she head back to blow the smoke towards the ceiling,L,blow_smoke,['AT0'],1,TO0,AVP,PRP,AT0,1,15,0.2525454545454546
27,the guard blow smoke out through the doorway,L,blow_smoke,[],0,NN1,AT0,AVP,PRP,1,8,0.06875000000000003
28,he blow gitane smoke in he employer 's direction,L,blow_smoke,['NP0-NN1'],1,PNP,,PRP,DPS,1,9,-0.09259999999999999
29,he light a cigarette and blow smoke in she direction,L,blow_smoke,[],0,CJC,NN1,PRP,DPS,1,10,-0.09716666666666667
30,he light one stand beside donna blow smoke out of the window,L,blow_smoke,[],0,NP0-NN1,PRP,AVP,PRF,1,12,-0.03669999999999998
31,he put he cigarette to he lip draw in smoke sit silent and impassive for some moment then blow the smoke out of he nose in two impassive grey plume,L,blow_smoke,['AT0'],1,AV0,NN2,AVP,PRF,2,30,0.021681818181818188
32,morris blow smoke down he nose,L,blow_smoke,[],0,NP0,,AVP-PRP,DPS,1,6,-0.289
33,mrs. mounce blow out cigarette smoke provocatively narrow she eye against it sting,L,blow_smoke,"['AVP', 'NN1']",2,NP0,NP0,AV0,VVG,1,13,-0.31224999999999997
34,she draw the cigarette from she lip and blow out the smoke thoughtfully,L,blow_smoke,"['AVP', 'AT0']",2,CJC,NN2,AV0,,1,13,0.11088888888888893
35,softly he sigh draw in deeply on the cigarette blow the smoke languidly towards the leafy canopy and say,L,blow_smoke,['AT0'],1,NN1,AT0,AV0,PRP,1,19,0.15299999999999997
36,the tv presenter suck extravagantly on she cigarette and blow out the smoke over she left shoulder,L,blow_smoke,"['AVP', 'AT0']",2,CJC,NN1,PRP-AVP,DPS,1,17,-0.01549999999999998
37,jane pargeter inhale and blow the smoke out with a pout of self-righteousness remind dexter of a spoilt and naughty child,L,blow_smoke,['AT0'],1,CJC,VVD,AVP,PRP,1,21,-0.11885714285714284
38,hold the cow 's tail he lean on the hairy back and empty-eyed blow smoke from the pipe which like most farmer at a cleansing he have prudently light at the outset and of course since the going be heavy it just would happen that the job take much longer than usual,L,blow_smoke,[],0,AJ0,CJC,PRP,AT0,1,52,0.2599375
39,he blow smoke pleasurably from he nostril,L,blow_smoke,[],0,PNP,,AV0,PRP,1,7,-0.5599999999999999
40,he light one of the cigar which he smoke nonstop and blow rich smoke upwards,L,blow_smoke,['AJ0'],1,CJC,AJ0-AV0,AV0,,2,15,-0.03769999999999999
41,she blow smoke serenely as he flick it at the wall,L,blow_smoke,[],0,PNP,,AV0,CJS,1,11,-0.23249999999999996
