,SentencePre,Sentence,SentencePost,Idiom,Usage
0,he be obviously peeved that we have square it with the music teacher while he do not know anything about it,anyway jack the lad say rehearse and blow smoke in he face,the next day we be inform that we be not allow to use the hut again,blow_smoke,L
1,i really like it the way she move i head and brush she finger through i hair,she be lie on the bed blow smoke at the ceiling,the smoke sort of hang in blue layer above the bed and i watch it for a bit,blow_smoke,L
2,why do they shift you down here,he father lean back and blow smoke towards the ceiling,arty look round at jack carbery and the five other who have be move to the ground floor with he,blow_smoke,L
3,let we relax then,let we blow smoke at each other you and i.,a long way from here the amiable and taggle sheep be still curl together in the roadside bus shelter and the wind still move through the unclad tree,blow_smoke,L
4,let we relax please,let we blow smoke at each other you and i. smoke get in you eye you green eye i icy love,i hope i do not fall asleep,blow_smoke,L
5,harry have tense at the criticism but scarface laugh and the whole bar start roar at bull 's subtlety and wit,he take a fresh cigarette offer by somebody else light it and then blow the smoke in harry 's face,nothing be say but he lieutenant know he have be reprieve at the last minute,blow_smoke,L
6,feed it into the grapevine use you press contact,he blow smoke into the air,but on no account let anyone know we be interested,blow_smoke,L
7,it will then maintain a constant heading at an angle to the wind,this effect be best correct by observe the exhaust smoke and trim the model so that the tail boom be point in the same direction that the smoke be be blow,if a gyro be fit this can tend to hide the effect of the trim offset and can in gusty condition cause the tail to oscillate and lead to the mistaken conclusion that the gyro be too sensitive,blow_smoke,L
8,a small battery-powered fan whirl the smoke away and generally try to stir up the humid air which play such havoc with ellen 's precious book in they orange-crate shelf,the ulsterman blow smoke towards she,breakspear will not do the senator 's cruise he say so you will lose that money but if you work one night a week for i then you will earn just as much anyway,blow_smoke,L
9,he come and stand very close to i try to intimidate i as billingsley have do,he blow cigarette smoke to sting i eye,just because you be a poxy marine you holiness do not make you tough,blow_smoke,L
10,charles then drop incense into a smoldering urn in a traditional korean ceremony,as pungent smoke be blow into she face diana 's eye go red and watery,she look on the verge of tear say one observer,blow_smoke,L
11,exterior terminal of balanced flue appliance 4in diameter,no draught cowl prevent downdraught from blow smoke back into the room with the new eurocowl,suitable for all solid fuel and gas it meet bs 715 and have be certify by british gas,blow_smoke,L
12,mummy say the spittler blow smoke when it chase you,this one be blow smoke,it be the terrible bloodsuckling toothpluckling stonechuckling spittler,blow_smoke,Q
13,he nose tell he exactly where to go,why do he blow out all that smoke,little billy ask,blow_smoke,Q
14,he make so much steam and smoke you can never see he,if you be behind he you can sometimes catch a glimpse of little bit of he because all the smoke be be blow out in the front,some minpin say they have see he back leg huge and black and very hairy shape like lion ' leg but ten time as big,blow_smoke,L
15,but nobody really know,mind you he must have gigantic nose-hole to be able to blow out all that smoke,they stay still listen and they could hear the gruncher paw the ground at the base of the tree with he giant hoof and snort with greed,blow_smoke,Q
16,that be right i say,dodger sigh and blow smoke all over we,so you be go solo now say the victim fumble for she smoke again,blow_smoke,L
17,the colonel light he cigarette,he blow the smoke to the ceiling,then you have more than one problem dr tariq,blow_smoke,L
18,in a large house with long corridor it be worth fit extra alarm with an interconnect facility so if one be trigger the other sound too,test the alarm regularly by press the test button or blow smoke into it from a cigarette or candle,make a habit of replace the battery once a year,blow_smoke,L
19,take out he pack of strand michael light one slowly,he pull deeply on the cigarette and blow the smoke into tommy 's face,you have make i very cross,blow_smoke,L
20,where be we go,philpott exhale blow the smoke upwards,strasbourg,blow_smoke,L
21,and obviously she have do more than hold she own,yes indeed madame sigh light a fresh cigarette and blow the smoke out of the side of she mouth yes you do very well indeed,why,blow_smoke,L
22,for instance in helen cresswell 's the night watchman henry be listen to caleb 's description of the mysterious train,she come whistle out of the dark when folk be in they bed and the most they will see of she be she green eye and the red fire blow up she smoke,fire cry henry,blow_smoke,L
23,i be serious about it if no one else be,and with petulant little movement of she lip and eye she challenge they then reach for a cigarette and light it and blow out thick smoke in irritation,and to support she come sound from the hall mary and reggie who full of talk and laughter open the door of the kitchen and be silent,blow_smoke,L
24,so sir what do you think,kenneth caitlin light himself a cigar blow the smoke out in huge puff that swirl around he bald head,from what i can see katie this man be either very careful or have be very lucky,blow_smoke,L
25,caitlin shrug he shoulder and button up he wrinkled suit jacket,he blow cigar smoke in she face,no actually katie,blow_smoke,L
26,i pass the pack and she take a small gold lighter from she purse,she inhale deeply and throw she head back to blow the smoke towards the ceiling,there be fine line around she eye,blow_smoke,L
27,melinda cough meaningfully,the guard blow smoke out through the doorway,maleesh he say,blow_smoke,L
28,michael ignore stephen 's heavy sarcasm a smug expression on he face,he blow gitane smoke in he employer 's direction,stephen cough irritably and waft he hand,blow_smoke,L
29,i think so too,he light a cigarette and blow smoke in she direction,she throat dry,blow_smoke,L
30,he push she towards the door then reach into he coat pocket and take out a packet of cigarette,he light one stand beside donna blow smoke out of the window,cold night air rush in ruffle she hair and make she eye water,blow_smoke,L
31,morris say nothing,he put he cigarette to he lip draw in smoke sit silent and impassive for some moment then blow the smoke out of he nose in two impassive grey plume,you can sit here for the moment say dyson open the mail from he in-tray while we get this sort out,blow_smoke,L
32,what be this number of yours call he ask,morris blow smoke down he nose,i can not stop crying he say,blow_smoke,L
33,bob make some small noncommittal noise,mrs. mounce blow out cigarette smoke provocatively narrow she eye against it sting,and without i bet sweety pie,blow_smoke,L
34,you know you father almost go bankrupt about a year ago,she draw the cigarette from she lip and blow out the smoke thoughtfully,you be joke,blow_smoke,L
35,this ritual have be accomplish he fall back against the grass and take cassie 's hand lightly in he own,softly he sigh draw in deeply on the cigarette blow the smoke languidly towards the leafy canopy and say,when this show be all over i be never go to fly another damn kite,blow_smoke,L
36,anything that have come back to mind,the tv presenter suck extravagantly on she cigarette and blow out the smoke over she left shoulder,she eyelash clog with thick make-up flicker together,blow_smoke,L
37,but he have to find out at some stage do not he,jane pargeter inhale and blow the smoke out with a pout of self-righteousness remind dexter of a spoilt and naughty child,she shrug,blow_smoke,L
38,but this time it be hard word mr dakin respond to i sally on the weather cricket and the price of milk with a series of grunt,hold the cow 's tail he lean on the hairy back and empty-eyed blow smoke from the pipe which like most farmer at a cleansing he have prudently light at the outset and of course since the going be heavy it just would happen that the job take much longer than usual,sometimes a placenta simply lift out but i have this one away from the cotyledon one by one return every few minute to the hot water and antiseptic to re-soap i aching arm,blow_smoke,L
39,that snow 's three foot deep,he blow smoke pleasurably from he nostril,we will do not tha worry,blow_smoke,L
40,extraordinary people the aussie james say,he light one of the cigar which he smoke nonstop and blow rich smoke upwards,the habit have give he room it be hardly an office pack as it be with artefact from all over the world a curious olfactory patina as though the whole place have be dip in aromatic tobacco and then hang out to dry,blow_smoke,L
41,he scrape a little honey into he spoon and look at she,she blow smoke serenely as he flick it at the wall,and at the floor,blow_smoke,L
42,he watch as i hold it in,when i can not hold it any longer i blow the smoke into he mouth,we stay kiss for a bit,blow_smoke,L
43,do not be sad i say everything be all right now,he give i another burn and he have one for himself blow the smoke back into i mouth afterwards,i flash on something but i can not think what it be something empty something white,blow_smoke,L
44,take the same precaution he melt it quickly and carefully acutely aware of rare summer breeze or the compulsion to sneeze,and he blow the smoke back into i mouth,i take the tube in i hand while he light the foil from underneath,blow_smoke,L
45,but they sound different coming from the lieutenant 's mouth,the novelty be in the clean and smiling way he say they blow out gray smoke ring at the same time,there be something spontaneous and lively in he manner of speak that make whatever he be say sound even good,blow_smoke,L
46,excellent say stok,then we spend five minute blow cigar smoke at each other until stok say lenin do not smoke hate flower never have a soft chair in he office have only the simple food like read turgenev and always have he watch fifteen minute slow,i be not like that,blow_smoke,L
47,thanks,she blow smoke at i,glad to see you have recover from be goose by mrs cody,blow_smoke,L
48,i suppose so,he blow smoke at i,tough guy,blow_smoke,L
49,something i can believe in,she blow smoke in a pale blue stream through rounded lip,she smile easily,blow_smoke,L
50,two waiter clash wrist get a light to she,she blow smoke out cough and hand he the cigarette and he take it without a word,she have know he less than a week and be already on to he annoying habit,blow_smoke,L
51,that be i business,he blow cigarette smoke irritably across the room,i throw i hand up,blow_smoke,L
52,russell do not say anything,he have make a cigarette and now he light it look at braden as he blow the smoke up in the air,you think i come in here to kid,blow_smoke,L
53,synthetic drug such as quinacrine and chloroquine be develop to replace natural quinine but some strain of malaria be find to be resistant and doctor be use quinine again to treat malaria in vietnam fortunately tree grow well in java which be now the main global source,obviously not all shaman practice be applicable in the modern world one procedure involve blow tobacco smoke over a sick person because it be believe to have magical healing power i can not see that sell too well today,scotland have a well establish relationship with the pioneering work in the colombian amazon and dr sandy gray of strathclyde university make frequent visit there,blow_smoke,L
54,no,shelley blow smoke in she dog 's face,yeah,blow_smoke,L
55,simply turn the page for the exercise we have choose specially for you from massage for total relaxation and then face the world with a new sense of inner calm,who know you may never blow you top in a traffic jam again,you step-by-step guide to self-massage,blow_top,I
56,he also play football for salisbury corinthian,not for nothing be he know as windy when upset he really do blow he top but he bark be bad than he bite he be an excellent teacher and take both standard six and seven,under he leadership the school win the local school league in football cricket and swimming,blow_top,I
57,i indulge in some self-analysis,it be the first time in year that i have blow i top in such a way and i vow that it would never happen again that i would save all i aggression for the track,i also realize that i have a responsibility not only to young black kid but to all young people of every colour and creed,blow_top,I
58,i remain out stand with i ear to the door for carl detest any form of interruption,he have be know to blow he top after a child in the room have pass wind make no allowance for the age of the boy a four-year old and the fact of he parent be guest,i make i entry at the end of the song,blow_top,I
59,one place especially be beautiful,the mist would blow off the top of the,mountain and there be always a few,blow_top,L
60,we do gas-mask drill,he blow the top of he tea and sip it,there ai not even enuff pencil,blow_top,L
61,the relationship may have reach breaking point follow the disclosure that sunderland approach steve coppell at crystal palace over crosby 's job as manager,crosby have maintain he dignity despite a constant catalogue of name link with the post a catalogue of name have be link with the job in the past but crosby blow he top after learning of the coppell approach,he be determine to have a clear-the-air meeting with murray this weekend and snap yesterday i have to get to the bottom of this mess,blow_top,I
62,crosby have maintain he dignity despite a constant catalogue of name link with the post,crosby blow he top after learning of the coppell link and say yesterday i be angry and upset to read somebody connect with the club have be in contact with steve coppell,contract,blow_top,I
63,all the player feel the same,manager crosby want a meeting with chairman bob murray this weekend after blow he top over claim that crystal palace boss steve coppell have be approach about he job,crosby yesterday describe the continuing speculation as disruptive,blow_top,I
64,no-one in the liverpool dress room be leave in any doubt as to the standard they be expect to achieve each time they be select,while kenny be the quiet man before and during a match graeme be more volatile and likely to blow he top if he demand be not meet,he will not back away from confront individual when he want to get he message across,blow_top,I
65,photograph of the bout make the front page,two year later raft blow he top at peter lorre during a scene in background to danger in which lorre and sydney greenstreet tie raft up,lorre begin improvise by blow cigarette smoke into raft 's face laugh sardonically,blow_top,I
66,bobby kennedy declare sinatra be home a security risk and the president have to cancel he stay at the sinatra mansion,sinatra blow he top and accuse both lawford of cover up what he see as a vendetta be wage by bobby against he,he never again speak to peter lawford,blow_top,I
67,i sort of pummel he on the chest that be all,i used to get so angry on the set that one day i just blow i top and hit john huston,unfortunately we do not have a very happy working relationship,blow_top,I
68,you have drop it on the floor,what with the heat the fiddly bit and then he i be ready to blow i top,solution stop knit yet again but i never give up,blow_top,I
69,leigh jenkinson have be fine آ£100 drop from tonight 's game against swansea and transfer list by hull city boss terry dolan for gesture to a fan,jenkinson blow he top after miss a penalty at plymouth on friday night,blow for gary,blow_top,I
70,middlesbrough 2 man city 0,angry city boss peter reid blow he top at send off striker niall quinn,the republic of ireland international get the red card after throw a punch at opposite number paul wilkinson as city crash to defeat,blow_top,I
71,christie fury,linford blow he top in relay bust-up,but sprint ace get to final,blow_top,I
72,david moore,linford christie blow he top at he sleeping partner yesterday and then blast they to the chance of an olympic medal,we 4 x 100 metre squad will go into tonight 's final which include the flying american quartet lead by carl lewis after an amazing behind-the-scenes bust-up,blow_top,I
73,kalliste be the name give to this little lady before it become either thera or santorini and a more singularly inapt name i can not imagine,it be this beautiful lady that blow she top in 1450 bc with four time the explosively destructive power of krakatoa,what have be the cone of a volcano become a circular depression we call it a caldera some thirty square mile in area into which the sea pour,blow_top,L
74,he take several puff and galvone be careful to keep quiet,it be unusual for hauser to blow he top,when he speak he seem calm and under control,blow_top,I
75,ignore they,if you blow you top they will nick you double quick,michael 's breathing be return to normal,blow_top,I
76,a simply enormous whistle that echo in the valley,more like a volcano erupt than a steam engine blow it top nick always say but he be touchy about it because it make he sick the first time,though of course it be not only the whistle,blow_top,L
77,in any event if he be go to make an announcement i say he should communicate with everyone present and obtain they consent,whereupon he blow he top and declare well i will not make the announcement but i will never talk to you again,i take this threat rather lightly and for good reason because some fifteen minute later he be on the telephone to i talk about a completely different matter as though the previous conversation have never take place,blow_top,I
78,he also say he new role will not change i the person and insist he would carry on with dignity,whether the ipswich director who watch he blow he top with the unwitting journalist believe that be debatable,but it must be say that both liverpool and everton have cause to be grateful for the moores ' family millions,blow_top,I
79,she skin be tan and freckle like a brown farm egg,when she smile that big smile with she slightly too big mouth and too many very white tooth it be as if the explosion be start to blow the top of she head off,rain be bounce off the street like corn-stubble and signe 's hair be plaster against she head like a pot of mustard that someone have pour over she,blow_top,L
80,talking of laughter last night 's 3â€“3 draw at old trafford be a peach,it have i roll on the floor to see schmeichel blow he top at the scum defence,all together now to the tune of ooh-ah cantona pig out of europe i say pig out of europe,blow_top,I
81,he thrust a hand through he hair,sorry i blow i top but i have vision of find you down there on the rock like the first time,i be not anywhere near the edge,blow_top,I
82,bernie slaven 's outburst at be leave out in the cold could cost he a place in the starting line-up as middlesbrough take on tranmere tonight,striker slaven blow he top after be axe from the side which grab a draw at bristol city in midweek,manager lennie lawrence admit the big hoo-ha have disappoint i greatly,blow_top,I
83,but he have little hesitation in declare that he successor as chairman of esso have do a good job than he be able to achieve,unashamedly blow he own trumpet he also consider that many of the people he select for management role in esso be do a good job than the people before they,they be well train well educate,blow_trumpet,I
84,he be not ask so he supply an alternative,i be not terribly good at blow i own trumpet though,the other two member of the board laugh discreetly but the co be deliver judgment,blow_trumpet,Q
85,we very limited resource be all tie up in get on with the work,there be nothing leave either in womanpower or fund to devote to blow we own trumpet so we have be unable to impress you with the extent and importance of we work,as charity go you do not frankly think we be particularly deserving,blow_trumpet,I
